bout_id,fighter_id,round,fighter,td_s,td_s_pr_di,td_s_p15m,td_s_p15m_di,td_a,td_a_pr_di,td_a_p15m,td_a_p15m_di,sba,sba_pr_di,sba_p15m,sba_p15m_di,rev,rev_pr_di,rev_p15m,rev_p15m_di,ps,ps_pr_di,ps_p15m,ps_p15m_di
9c884cbc3791bf60,78114b7199cef90c,1,Urijah Faber,1,0,3.0,0.0,1,-2,3.0,-6.0,0,0,0.0,0.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
9c884cbc3791bf60,78114b7199cef90c,2,Urijah Faber,0,0,0.0,0.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c884cbc3791bf60,78114b7199cef90c,3,Urijah Faber,0,0,0.0,0.0,2,1,6.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c884cbc3791bf60,78114b7199cef90c,4,Urijah Faber,0,0,0.0,0.0,1,1,3.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c884cbc3791bf60,78114b7199cef90c,5,Urijah Faber,0,-2,0.0,-6.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-1,0.0,-3.0
9c9039f921aa86ca,c47df9303d318c67,1,Clay Guida,2,2,6.0,6.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c9039f921aa86ca,c47df9303d318c67,2,Clay Guida,2,2,6.0,6.0,6,6,18.0,18.0,0,-1,0.0,-3.0,0,0,0.0,0.0,1,1,3.0,3.0
9c9039f921aa86ca,c47df9303d318c67,3,Clay Guida,1,1,3.0,3.0,8,8,24.0,24.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0
9caaca5748ea9086,5f04e3d58d9ce982,1,Yves Edwards,0,0,0.0,0.0,1,0,7.826086956521738,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9cad47cdd6351e50,cd13728ae1151f46,1,Ion Cutelaba,2,2,6.0,6.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,2,2,6.0,6.0
9cad47cdd6351e50,cd13728ae1151f46,2,Ion Cutelaba,3,3,9.0,9.0,3,1,9.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-1,0.0,-3.0
